"X";"Y";"gid";"CdStationHydro";"CdStationHydroAncienRef";"LbStationHydro";"TypStationHydro";"CdCommune";"CdZoneHydro";"CdEntiteHydrographique";"CdTronconHydrographique";"DtMiseServiceStationHydro";"DtFermetureStationHydro";"CdIntervenant";"NomIntervenant";"LbAffichageStationHydro";"DtMAJStationHydro";"DroitPublicationStationHydro";"InfluLocaleStationHydro";"EssaiStationHydro";"CoordXStationHydro";"CoordYStationHydro";"ProjCoordStationHydro";"LbTerritoire"
"-1.07190802219958";"48.4869591820373";1412;"I912201001";"I9122010";"L'Airon à Louvigné-du-Désert - Moulin du Pont";"LIMNI";35162;"I916";"I91-0400";"I9160400";"1972-12-01 12:00:00+00";"2002-07-09 13:50:00+00";13000962400011;"DREAL Basse-Normandie";"HydroPortail/Hydro 2";"2016-07-12 06:24:48+00";10;1;"f";399243;6828501;26;"Métropole"
"-1.19645073591889";"48.3755829749249";1419;"J001401001";"J0014010";"Le Nançon à Lécousse - Pont aux Anes";"LIMNI";35150;"J001";"J0014000";"J0014000";"1980-02-01 00:00:00+00";;13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:34+00";10;1;"f";389395;6816620;26;"Métropole"
"-1.20000525078179";"48.3740334461595";1420;"J001401002";"J0014020";"Le Nançon à Lécousse - Aval moulin";"LIMNI";35150;"J001";"J0014000";"J0014000";"1968-10-01 00:00:00+00";"1980-02-01 00:00:00+00";13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:03+00";10;1;"f";389123;6816462;26;"Métropole"
"-1.43075075499128";"48.3120962089842";1421;"J010151001";;"Le Couesnon à Mézières-sur-Couesnon - La Roche";"LIMNI";35178;"J010";"J0--0150";"J0100150";"1971-08-20 10:00:00+00";"1978-12-27 10:00:00+00";13001000200017;"DREAL Bretagne";"HydroPortail";"2016-07-12 06:25:34+00";10;1;"f";371675;6810522;26;"Métropole"
"-1.50378590273637";"48.3654707510147";1422;"J012151001";"J0121510";"Le Couesnon à Romazy - La Mondrais";"LIMNI";35244;"J012";"J0--0150";"J0120150";"1967-11-18 12:00:00+00";;13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:34+00";10;3;"f";366607;6816751;26;"Métropole"
"-1.43581539322229";"48.4279323212015";1423;"J014401001";"J0144010";"La Loisance à Saint-Ouen-la-Rouërie - Moulin Neuf";"LIMNI";35303;"J014";"J014400A";"J0144000";"1968-08-01 12:00:00+00";;13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:34+00";10;1;"f";372023;6823398;26;"Métropole"
"-1.32368642853461";"48.4065232735492";1424;"J014421001";"J0144210";"La Loisance à Saint-Étienne-en-Coglès - La Cour";"LIMNI";35267;"J014";"J014400A";"J0144000";"1985-05-30 00:00:00+00";"1985-11-27 00:00:00+00";13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:34+00";10;1;"f";380175;6820562;26;"Métropole"
"-1.688678545659";"48.5259987618665";1425;"J032301001";"J0323010";"Le Guyoult à Epiniac - La Vieux-Ville";"LIMNI";35104;"J032";"J03-0300";"J0320300";"1967-11-01 12:00:00+00";;13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:34+00";10;1;"f";353995;6835360;26;"Métropole"
"-1.86084136331264";"48.5127117266089";1426;"J040761001";"J0407610";"Le Meleuc à Plerguer - Pont D 676";"LIMNI";35224;"J040";"J0406500";"J0406500";"1970-12-01 12:00:00+00";"1975-01-07 00:00:00+00";13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:33+00";10;1;"f";341215;6834654;26;"Métropole"
"-2.16761786162724";"48.2541067787657";1427;"J061161001";"J0611610";"La Rance à Saint-Jouan-de-l'Isle - Pont Rimbert";"LIMNI";22305;"J061";"J0--016A";"J0610160";"1984-09-18 00:00:00+00";;13001000200017;"DREAL Bretagne";"HydroPortail/Hydro 2";"2016-07-12 06:25:33+00";10;1;"f";316723;6807409;26;"Métropole"
